vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,passengercount,tripdistance,fareamount,extra,mtatax,tipamount,tollsamount,improvementsurcharge,totalamount,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,duration
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.96,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0,1,0,0,1,0,458.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.9,8.0,0.5,0.5,1.86,0.0,0.3,11.16,0,0,1,0,0,1,444.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.6,8.0,0.0,0.5,1.0,0.0,0.3,9.8,0,1,0,0,1,0,534.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4,4.5,0.0,0.5,0.0,0.0,0.3,5.3,0,1,0,0,1,0,180.0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.9,5.0,0.0,0.5,1.0,0.0,0.3,6.8,1,0,0,1,0,0,231.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,4.96,17.0,0.5,0.5,3.66,0.0,0.3,21.96,1,0,0,1,0,0,1036.0
0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.9,16.0,1.0,0.5,5.3,0.0,0.3,23.1,0,0,1,0,0,1,685.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.9,17.5,0.0,0.5,0.0,0.0,0.3,18.3,0,1,0,0,1,0,1500.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.62,8.0,0.5,0.5,1.0,0.0,0.3,10.3,0,0,0,0,0,0,522.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.7,14.5,0.0,0.5,1.0,0.0,0.3,16.3,0,0,1,0,0,1,1380.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.88,6.5,1.0,0.5,0.5,0.0,0.3,8.8,0,0,1,0,0,1,424.0
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1.46,7.0,0.5,0.5,1.24,0.0,0.3,9.54,0,0,1,0,0,1,468.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.66,10.0,0.0,0.5,1.2,0.0,0.3,12.0,0,1,0,0,1,0,789.0
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1.63,9.5,0.5,0.5,2.16,0.0,0.3,12.96,0,0,1,0,0,1,720.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.42,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0,0,1,0,0,1,451.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,8.0,0.0,0.5,0.0,0.0,0.3,8.8,1,0,0,0,1,0,660.0
0,1,0,0,1,0,0,0,0,0,0,0,0,1,2.3,12.5,0.5,0.5,2.75,0.0,0.3,16.55,0,0,1,0,0,1,978.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.7,18.5,0.5,0.5,3.0,0.0,0.3,22.8,0,0,1,0,0,1,1415.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.5,19.5,0.0,0.5,0.0,0.0,0.3,20.3,0,1,0,0,1,0,1896.0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.7,12.5,0.0,0.5,0.0,0.0,0.3,13.3,0,1,0,0,1,0,924.0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,1.07,8.0,1.0,0.5,0.0,0.0,0.3,9.8,0,0,1,0,0,1,600.0
0,0,1,0,0,0,0,0,0,0,0,0,1,2,2.3,13.0,0.0,0.5,0.0,0.0,0.3,13.8,0,1,0,0,1,0,1080.0
1,0,1,0,1,0,0,0,0,1,0,0,0,6,2.95,13.5,0.5,0.5,0.0,0.0,0.3,14.8,0,0,1,0,0,1,960.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.8,9.5,0.5,0.5,0.0,0.0,0.3,10.8,0,0,1,0,0,1,733.0
1,1,0,0,0,0,0,0,0,0,0,0,0,6,0.63,4.5,0.5,0.5,1.16,0.0,0.3,6.96,1,0,0,1,0,0,240.0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.3,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0,0,1,0,0,1,440.0
1,1,0,0,0,0,0,0,0,0,0,0,0,6,3.22,11.5,1.0,0.5,3.32,0.0,0.3,16.62,0,0,1,0,0,1,600.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.09,6.5,0.0,0.5,1.0,0.0,0.3,8.3,0,1,0,0,1,0,410.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.79,7.0,0.5,0.5,0.0,0.0,0.3,8.3,1,0,0,1,0,0,480.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,1,0,0,1,0,0,324.0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,2.73,20.5,1.0,0.5,4.46,0.0,0.3,26.76,0,0,1,0,0,1,2038.0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.9,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0,0,1,0,0,0,540.0
1,1,0,0,0,0,0,0,0,1,0,0,0,5,2.85,12.5,0.0,0.5,1.0,0.0,0.3,14.3,0,1,0,0,1,0,960.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.8,11.5,0.5,0.5,0.0,0.0,0.3,12.8,0,0,1,0,0,1,1020.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.83,6.0,0.0,0.5,0.7,0.0,0.3,7.5,0,1,0,0,1,0,360.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.2,22.0,0.0,0.5,4.56,0.0,0.3,27.36,0,1,0,0,1,0,1890.0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.6,11.0,1.0,0.5,0.0,0.0,0.3,12.8,0,0,1,0,0,1,948.0
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.5,4.5,0.5,0.5,2.0,0.0,0.3,7.8,0,0,1,0,0,1,240.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.71,10.5,0.0,0.5,2.26,0.0,0.3,13.56,1,0,0,1,0,0,860.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,20.0,0.0,0.0,0.0,0.0,0.3,20.3,1,0,0,1,0,0,7.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.06,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0,0,0,0,0,0,296.0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,4.1,17.5,0.5,0.5,3.75,0.0,0.3,22.55,0,0,1,0,0,1,1196.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.08,6.0,1.0,0.5,1.17,0.0,0.3,8.97,0,1,0,0,1,0,360.0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,2.6,13.0,0.0,0.5,0.0,0.0,0.3,13.8,0,1,0,0,1,0,970.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.91,6.0,1.0,0.5,0.0,0.0,0.3,7.8,0,1,0,0,1,0,356.0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.95,8.5,1.0,0.5,2.0,0.0,0.3,12.3,0,0,1,0,0,1,702.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.71,6.5,0.5,0.5,1.0,0.0,0.3,8.8,1,0,0,1,0,0,300.0
