vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,passengercount,tripdistance,fareamount,tipamount,totalamount,duration
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.4383116883116883,0.5849056603773585,0.6650246305418719,0.6572997416020672,1320.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.4074675324675324,0.3773584905660377,0.5566502463054187,0.47448320413436684,600.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.12662337662337664,0.2641509433962264,0.0,0.251937984496124,494.0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.16666666666666666,0.137987012987013,0.16981132075471697,0.26108374384236455,0.22254521963824286,180.0
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.8333333333333333,0.06168831168831169,0.1509433962264151,0.19047619047619047,0.22480620155038758,147.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.18668831168831168,0.3018867924528302,0.2889983579638752,0.34108527131782945,588.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.03571428571428571,0.8113207547169811,0.0,0.7041343669250646,180.0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.11363636363636363,0.18867924528301885,0.18883415435139572,0.2244832041343669,269.0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.11525974025974026,0.16981132075471697,0.0,0.17118863049095606,220.0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.4805194805194805,0.49056603773584906,0.4696223316912972,0.5542635658914729,960.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.16666666666666666,0.12987012987012989,0.20754716981132074,0.16420361247947454,0.23578811369509042,330.0
