passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,VendorID_2,RatecodeID_2,RatecodeID_3,RatecodeID_4,RatecodeID_5,RatecodeID_99,store_and_fwd_flag_Y,payment_type_2,payment_type_3,payment_type_4,minutes
2,2.0,617,334,10.5,0.5,0.5,2.35,0.0,0.3,14.15,0,0,0,0,0,0,0,0,0,0,12.933333333333334
1,0.42,292,802,4.0,1.0,0.5,0.87,0.0,0.3,6.67,1,0,0,0,0,0,0,0,0,0,4.000000000000001
2,1.7,590,259,10.0,0.0,0.5,1.62,0.0,0.3,12.42,0,0,0,0,0,0,0,0,0,0,12.45
3,0.68,890,356,4.0,0.5,0.5,1.06,0.0,0.3,6.36,1,0,0,0,0,0,0,0,0,0,1.7666666666666666
1,1.2,890,761,8.0,0.0,0.5,1.75,0.0,0.3,10.55,0,0,0,0,0,0,0,0,0,0,10.0
2,0.9,890,285,8.0,1.0,0.5,1.96,0.0,0.3,11.76,1,0,0,0,0,0,0,0,0,0,10.4
6,4.44,576,249,14.0,0.5,0.5,3.82,0.0,0.3,19.12,1,0,0,0,0,0,0,0,0,0,10.0
5,0.91,741,761,5.0,0.0,0.5,1.16,0.0,0.3,6.96,1,0,0,0,0,0,0,0,0,0,4.283333333333333
5,0.7,463,521,4.5,0.0,0.5,1.06,0.0,0.3,6.36,1,0,0,0,0,0,0,0,0,0,4.000000000000001
2,2.23,617,190,13.0,0.5,0.5,1.7,0.0,0.3,16.0,1,0,0,0,0,0,0,0,0,0,18.0
2,3.39,488,521,13.5,0.5,0.5,2.96,0.0,0.3,17.76,1,0,0,0,0,0,0,0,0,0,16.000000000000004
1,2.66,749,230,12.0,0.0,0.5,2.56,0.0,0.3,15.36,1,0,0,0,0,0,0,0,0,0,14.35
1,0.8,469,661,5.0,1.0,0.5,1.35,0.0,0.3,8.15,0,0,0,0,0,0,0,0,0,0,4.366666666666666
1,1.09,262,355,6.5,0.0,0.5,0.7,0.0,0.3,8.0,1,0,0,0,0,0,0,0,0,0,7.483333333333333
6,0.77,436,759,6.5,0.0,0.5,1.82,0.0,0.3,9.12,1,0,0,0,0,0,0,0,0,0,6.883333333333334
1,2.5,158,411,12.5,0.0,0.5,1.8,0.0,0.3,15.1,0,0,0,0,0,0,0,0,0,0,16.000000000000004
1,1.46,463,467,9.0,1.0,0.5,2.16,0.0,0.3,12.96,1,0,0,0,0,0,0,0,0,0,11.0
1,1.1,739,681,7.5,0.0,0.5,1.5,0.0,0.3,9.8,0,0,0,0,0,0,0,0,0,0,8.766666666666667
1,1.2,262,342,6.5,0.5,0.5,1.55,0.0,0.3,9.35,0,0,0,0,0,0,0,0,0,0,6.483333333333333
1,0.75,392,369,5.5,0.0,0.5,1.26,0.0,0.3,7.56,1,0,0,0,0,0,0,0,0,0,5.0
1,0.7,792,619,7.0,0.0,0.5,1.56,0.0,0.3,9.36,1,0,0,0,0,0,0,0,0,0,9.0
1,0.84,749,462,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1,0,0,0,0,0,0,0,0,0,7.0
3,0.7,749,355,8.5,0.0,0.5,1.0,0.0,0.3,10.3,1,0,0,0,0,0,0,0,0,0,12.75
1,2.12,325,230,12.0,0.0,0.5,2.0,0.0,0.3,14.8,1,0,0,0,0,0,0,0,0,0,17.000000000000004
1,3.1,33,31,14.5,0.5,0.5,3.15,0.0,0.3,18.95,0,0,0,0,0,0,0,0,0,0,17.7
1,0.8,749,661,7.5,0.0,0.5,1.65,0.0,0.3,9.95,0,0,0,0,0,0,0,0,0,0,9.0
5,2.94,649,167,13.5,0.5,0.5,2.96,0.0,0.3,17.76,1,0,0,0,0,0,0,0,0,0,16.983333333333334
1,4.0,227,619,13.5,0.5,0.5,2.96,0.0,0.3,17.76,0,0,0,0,0,0,0,0,0,0,12.433333333333334
1,2.29,62,261,10.5,0.5,0.5,1.0,0.0,0.3,12.8,1,0,0,0,0,0,0,0,0,0,10.866666666666667
1,0.9,611,653,10.0,1.0,0.5,2.5,0.0,0.3,14.3,0,0,0,0,0,0,0,0,0,0,15.0
1,0.8,124,141,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0,0,0,0,0,0,0,0,0,0,5.0
1,0.9,890,802,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0,0,0,0,0,0,0,0,0,0,3.0
1,0.61,649,557,6.5,0.0,0.5,2.19,0.0,0.3,9.49,1,0,0,0,0,0,0,0,0,0,8.000000000000002
1,0.8,392,759,5.5,0.5,0.5,1.35,0.0,0.3,8.15,0,0,0,0,0,0,0,0,0,0,4.333333333333333
1,1.75,421,619,8.0,1.0,0.5,1.2,0.0,0.3,11.0,1,0,0,0,0,0,0,0,0,0,7.0
3,0.8,488,802,5.0,0.0,0.5,1.74,0.0,0.3,7.54,0,0,0,0,0,0,0,0,0,0,4.000000000000001
1,2.19,649,472,12.5,0.0,0.5,3.99,0.0,0.3,17.29,1,0,0,0,0,0,0,0,0,0,17.85
6,3.63,590,63,13.0,0.5,0.5,2.86,0.0,0.3,17.16,1,0,0,0,0,0,0,0,0,0,12.0
3,1.0,779,355,6.0,0.5,0.5,2.0,0.0,0.3,9.3,0,0,0,0,0,0,0,0,0,0,5.0
1,1.48,739,661,8.0,0.5,0.5,1.0,0.0,0.3,10.3,1,0,0,0,0,0,0,0,0,0,10.0
1,0.5,741,619,4.0,0.0,0.5,0.95,0.0,0.3,5.75,0,0,0,0,0,0,0,0,0,0,2.6333333333333333
2,3.13,227,121,14.0,0.0,0.5,3.7,0.0,0.3,18.5,1,0,0,0,0,0,0,0,0,0,16.51666666666667
1,2.14,279,259,10.5,0.5,0.5,2.36,0.0,0.3,14.16,1,0,0,0,0,0,0,0,0,0,12.716666666666667
2,2.53,590,121,12.5,0.5,0.5,3.45,0.0,0.3,17.25,1,0,0,0,0,0,0,0,0,0,15.0
1,0.25,423,406,3.5,0.5,0.5,0.96,0.0,0.3,5.76,1,0,0,0,0,0,0,0,0,0,2.2333333333333334
1,1.41,590,406,9.5,0.0,0.5,1.0,0.0,0.3,11.3,1,0,0,0,0,0,0,0,0,0,13.0
1,3.4,749,518,14.5,0.5,0.5,3.15,0.0,0.3,18.95,0,0,0,0,0,0,0,0,0,0,19.0
1,1.82,779,661,8.0,0.5,0.5,2.0,0.0,0.3,11.3,1,0,0,0,0,0,0,0,0,0,8.7
1,0.8,262,653,6.0,0.0,0.5,1.36,0.0,0.3,8.16,0,0,0,0,0,0,0,0,0,0,6.4
2,1.93,488,858,12.0,0.5,0.5,2.66,0.0,0.3,15.96,1,0,0,0,0,0,0,0,0,0,17.433333333333334
1,0.98,649,761,8.5,1.0,0.5,0.7,0.0,0.3,11.0,1,0,0,0,0,0,0,0,0,0,11.0
1,0.69,779,699,4.5,0.0,0.5,1.06,0.0,0.3,6.36,1,0,0,0,0,0,0,0,0,0,4.000000000000001
1,1.4,262,355,7.5,0.5,0.5,1.76,0.0,0.3,10.56,1,0,0,0,0,0,0,0,0,0,7.800000000000001
2,1.76,617,681,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,0,0,0,0,0,0,0,0,0,15.466666666666669
1,2.0,611,521,9.5,1.0,0.5,2.25,0.0,0.3,13.55,0,0,0,0,0,0,1,0,0,0,11.533333333333333
1,0.4,590,661,6.0,0.0,0.5,1.0,0.0,0.3,7.8,0,0,0,0,0,0,0,0,0,0,6.766666666666667
